,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
0,0.43234542,0.15984233,0.44749966,0.5394862,0.43187818,0.35459358,0.45208254,0.47618228,0.5063801,0.6408466,0.606653,0.44566685,0.4973767,0.4845651,0.50047946,0.59712106,0.5903427,0.4479148,0.4979841,0.1720363,0.17322288,0.5507928,0.62441784,0.5358128,0.5522586,0.7075926,0.49632388,0.43210357,0.62029916,0.504039,0.5018382,0.038206857,0.08985549,0.5852889,0.54876035,0.4989395,0.29585427,0.41244105,0.4586491,0.47334346,0.5669539,0.50198936,0.5136467,0.26379836,0.43042672,0.245163,0.57621217,0.45097494,0.47347412,0.39647657,0.5569282,0.41324627,0.57888734,0.38731304,0.28677446,0.6800859,0.49326643,0.49170926,0.46929714,0.46001372,0.45674932,0.5121584,0.37078828,0.5779064,0.4760596,0.45291528,0.501536,0.46860787,0.5801926,0.61337006,0.42558652,0.7453287,0.46059445,0.57812667,0.5340862,0.692994,0.5454504,0.50042087,0.6977706,0.47005704,0.56239784,0.4692443,0.30674848,0.50161815,0.51172835,0.51845574,0.5785151,0.43652534,0.52004284,0.5074159,0.6823199,0.48181397,0.49510896,0.48181397,0.31768012,0.49510896,0.5442834,0.6245552,0.34269664,0.5215947,0.54638845,0.4540739,0.41455778,0.4466802,0.5725543,0.46587223,0.5488278,0.5070526,0.4084173,0.5070526,0.45117217,0.4084173,0.78373986
1,0.43345544,0.15980338,0.44729748,0.5411513,0.42944163,0.35730764,0.45208254,0.4794497,0.5072634,0.6441711,0.60642433,0.44369486,0.4969832,0.4845651,0.49913692,0.59902877,0.587895,0.44862467,0.496141,0.17195943,0.17303392,0.5554987,0.6207585,0.5329519,0.5533658,0.71091545,0.49622586,0.42822006,0.621047,0.50213826,0.5014057,0.038300913,0.088208094,0.5852889,0.54876035,0.4989395,0.29711056,0.4139151,0.45733115,0.4762772,0.5654402,0.50574714,0.51440483,0.26379836,0.4296846,0.24807845,0.5767479,0.4523677,0.4742576,0.39701402,0.56010014,0.41324627,0.5791154,0.38757092,0.28862974,0.68089104,0.4927383,0.49121058,0.46827626,0.46018535,0.45674932,0.51237357,0.37078828,0.5764592,0.47535023,0.4524958,0.5003491,0.4671313,0.58266103,0.61337006,0.42521995,0.74429065,0.45982742,0.576311,0.53531826,0.691086,0.5466351,0.5021465,0.69795036,0.46910647,0.5621253,0.4692443,0.30674848,0.50161815,0.511675,0.51845574,0.5784607,0.43646607,0.52004284,0.5074159,0.68248516,0.48192996,0.4950334,0.48192996,0.31751484,0.4950334,0.5442834,0.6245552,0.34269664,0.5215947,0.5467078,0.4542207,0.41469008,0.44656077,0.57213956,0.46581626,0.5476713,0.5077869,0.4083392,0.5077869,0.45232868,0.4083392,0.78211385
2,0.43234542,0.15992023,0.44648874,0.5378211,0.435533,0.35432217,0.45182934,0.47755805,0.5053985,0.641844,0.6095107,0.44577062,0.49908185,0.4861424,0.4980821,0.5983351,0.5863373,0.45164153,0.4979841,0.17201921,0.17328589,0.5565217,0.6226436,0.5267191,0.55115145,0.70526665,0.49544162,0.42744336,0.6200855,0.5029698,0.49816176,0.038159825,0.088511564,0.5852889,0.54876035,0.4989395,0.29711056,0.4136203,0.4586491,0.47961557,0.5698649,0.5086207,0.51440483,0.26249456,0.42894247,0.24887358,0.57085454,0.4545961,0.47459334,0.39647657,0.563606,0.41324627,0.57957137,0.38653946,0.28915983,0.67901236,0.491418,0.4926443,0.46664286,0.45988503,0.45674932,0.51258874,0.37031814,0.57726324,0.47428623,0.4524958,0.49975565,0.46860787,0.5821794,0.61337006,0.42521995,0.74463665,0.46069032,0.5755634,0.53603697,0.69242966,0.5470907,0.5020202,0.6977706,0.46839353,0.5613079,0.4692443,0.30674848,0.50161815,0.51172835,0.51845574,0.5785695,0.43658465,0.5199759,0.5074812,0.68233824,0.48176757,0.49529782,0.48176757,0.31766176,0.49529782,0.5442834,0.6245552,0.34269664,0.5215947,0.5465481,0.45412284,0.41486642,0.4466205,0.5721914,0.46615195,0.5484946,0.5081847,0.4079225,0.5081847,0.45150542,0.4079225,0.78373986
3,0.43123543,0.15983453,0.4470953,0.53996193,0.43126905,0.35323653,0.45106974,0.47773,0.5064782,0.6397385,0.6074531,0.446082,0.50170517,0.48625508,0.49635595,0.59764135,0.5912328,0.44915706,0.49752334,0.17201495,0.17380555,0.5565217,0.6215347,0.5338715,0.5482728,0.7070942,0.49681404,0.42692557,0.6201923,0.5071276,0.4993512,0.03819745,0.09054913,0.5852889,0.54876035,0.4989395,0.2974246,0.4145047,0.45963755,0.47739,0.5691663,0.5030946,0.51402575,0.26206,0.42820036,0.24781342,0.5687115,0.4557103,0.47604835,0.39647657,0.5621035,0.41293532,0.57979935,0.38653946,0.28862974,0.67579174,0.48904145,0.49435857,0.4684294,0.462116,0.45592287,0.5132343,0.3700047,0.57742405,0.4738429,0.4524958,0.49965093,0.46772194,0.58151716,0.6130255,0.42375368,0.7449827,0.46107382,0.57492256,0.53603697,0.69221467,0.5449492,0.50244105,0.69795036,0.46791825,0.56239784,0.4692443,0.30674848,0.50161815,0.5116217,0.51845574,0.5784607,0.43640676,0.5201098,0.5074812,0.6823934,0.48204592,0.49454242,0.48204592,0.31760666,0.49454242,0.5442834,0.6245552,0.34269664,0.5215947,0.5463352,0.4536824,0.41464597,0.44644135,0.57276165,0.4662079,0.5490434,0.5077869,0.40800062,0.5077869,0.45095655,0.40800062,0.78373986
4,0.43145743,0.15981117,0.4457474,0.53996193,0.4292386,0.35812187,0.45220914,0.47773,0.5062819,0.6400709,0.608139,0.44888428,0.50354147,0.4859171,0.4978903,0.5983351,0.59212285,0.44862467,0.49856007,0.17196797,0.17363232,0.55191815,0.6227545,0.5325432,0.54860497,0.70526665,0.4957357,0.42614886,0.6200855,0.5032074,0.49848616,0.038065765,0.090303466,0.5852889,0.54876035,0.4989395,0.29711056,0.4142099,0.4583196,0.47880626,0.57056355,0.5068523,0.5147839,0.26249456,0.42820036,0.24781342,0.5700509,0.45431754,0.47709298,0.39546132,0.5618531,0.4135572,0.5793434,0.3867973,0.2878346,0.67579174,0.48851332,0.49548063,0.4697565,0.46460444,0.45592287,0.5132343,0.3701614,0.57726324,0.47393155,0.45322987,0.50104725,0.46819443,0.5830223,0.6126809,0.4233871,0.74394464,0.46097794,0.5734273,0.53706366,0.69242966,0.5452226,0.5039141,0.6981302,0.46744296,0.5618529,0.4692443,0.30674848,0.50161815,0.5114618,0.51854736,0.5785695,0.43628818,0.5201098,0.50767726,0.6820995,0.48241708,0.49412698,0.48241708,0.3179005,0.49412698,0.5442834,0.6245552,0.34269664,0.5215947,0.54660136,0.4540739,0.41469008,0.4466205,0.5723469,0.46592817,0.54733807,0.5072362,0.4082871,0.5072362,0.4526619,0.4082871,0.78373986
5,0.43223444,0.15985012,0.44675833,0.53686965,0.43167514,0.356222,0.45195594,0.47704214,0.5046133,0.6408466,0.60631,0.44660094,0.5018363,0.48636773,0.4974108,0.59764135,0.59234536,0.45004436,0.49579543,0.1719936,0.17322288,0.5554987,0.6168774,0.5350976,0.54982287,0.70526665,0.49553967,0.42601943,0.6200855,0.50641483,0.49859428,0.038192745,0.08989885,0.5852889,0.54876035,0.4989395,0.29711056,0.41332546,0.4583196,0.47668183,0.5739404,0.5081786,0.515163,0.26423293,0.42782933,0.2483435,0.5727297,0.4523677,0.47824952,0.39504328,0.5643573,0.41293532,0.57957137,0.3867973,0.28756958,0.6744498,0.4874571,0.49544945,0.4712368,0.46408957,0.45619833,0.512804,0.3701614,0.5771024,0.47366554,0.45354447,0.5000698,0.46630442,0.5803131,0.61337006,0.4233871,0.74463665,0.4607862,0.5733205,0.53747433,0.69414955,0.5455871,0.5039141,0.69795036,0.46673003,0.5610354,0.4692443,0.30674848,0.50161815,0.5110886,0.51868474,0.5785151,0.4361103,0.52044433,0.5078079,0.6820077,0.48281142,0.49635532,0.48281142,0.31799233,0.49635532,0.5442834,0.6245552,0.34269664,0.5215947,0.5464417,0.45495474,0.41508687,0.44745642,0.5716211,0.4659841,0.54682845,0.506716,0.4087559,0.506716,0.45317155,0.4087559,0.78211385
6,0.43123543,0.1599397,0.44594958,0.5387726,0.43187818,0.3555435,0.44967717,0.47893378,0.50569296,0.6415115,0.6077961,0.44836533,0.5052466,0.48535377,0.49942464,0.5983351,0.5912328,0.45039928,0.49936643,0.17195088,0.17336462,0.5549872,0.6203149,0.5327475,0.5532551,0.7079249,0.49475542,0.42653722,0.62051284,0.50463295,0.50540656,0.03794819,0.090057805,0.5852889,0.54876035,0.4989395,0.29679647,0.41273585,0.45733115,0.48052606,0.57184446,0.5039788,0.515163,0.26379836,0.42782933,0.24701829,0.57353336,0.45097494,0.47504103,0.39605853,0.5646077,0.41324627,0.57957137,0.3867973,0.2857143,0.67391306,0.4874571,0.4946079,0.4708795,0.46456152,0.45674932,0.512804,0.3701614,0.57678086,0.47393155,0.4528104,0.5015709,0.46589097,0.58139676,0.6130255,0.4222874,0.74394464,0.46107382,0.5733205,0.537269,0.6925371,0.54472136,0.50349325,0.6977706,0.46649238,0.5613079,0.4692443,0.30674848,0.50161815,0.51103526,0.51868474,0.5784607,0.4361103,0.52051127,0.5078079,0.6820077,0.4828578,0.4965064,0.4828578,0.31799233,0.4965064,0.5442834,0.6245552,0.34269664,0.5215947,0.5464417,0.45500368,0.41513094,0.44745642,0.57156926,0.4659841,0.54684806,0.50668544,0.4087559,0.50668544,0.45315194,0.4087559,0.78211385
7,0.43312243,0.1598696,0.4456126,0.54376787,0.42984772,0.35717192,0.44904417,0.47738606,0.5066745,0.64317375,0.60928214,0.44732746,0.50459075,0.4855791,0.4977944,0.5974679,0.59012014,0.45164153,0.4983297,0.17194661,0.17350635,0.56265986,0.61465955,0.5375498,0.55081934,0.7069281,0.49514753,0.42524272,0.62094015,0.5054645,0.4921064,0.038220964,0.09017341,0.5852889,0.54876035,0.4989395,0.2964824,0.4145047,0.45733115,0.4792109,0.57207733,0.5006631,0.515163,0.26336375,0.4270872,0.2483435,0.57246184,0.45208913,0.4759364,0.39623767,0.5641903,0.4135572,0.5791154,0.38731304,0.28730452,0.6720344,0.48666492,0.49554294,0.47184932,0.46297407,0.45674932,0.512804,0.3700047,0.57662004,0.47313353,0.4528104,0.49951127,0.46624535,0.5809151,0.6130255,0.42192084,0.7432526,0.46097794,0.5728933,0.537269,0.69312835,0.54216975,0.50244105,0.69795036,0.46625474,0.560218,0.4692443,0.30674848,0.50161815,0.5114618,0.51840997,0.57900465,0.43634745,0.5195744,0.50787324,0.6819526,0.48225468,0.49488235,0.48225468,0.3180474,0.49488235,0.5442834,0.6245552,0.34269664,0.5215947,0.5464949,0.45485687,0.41504276,0.44727728,0.571673,0.4659841,0.54675007,0.506869,0.40859964,0.506869,0.45324996,0.40859964,0.78211385
8,0.43301144,0.15987737,0.44763446,0.53901047,0.42964467,0.35567918,0.44917077,0.47790197,0.50598747,0.64328456,0.6100823,0.44660094,0.5041973,0.4861424,0.49654776,0.5988554,0.59012014,0.44773737,0.4983297,0.17192098,0.17322288,0.54966754,0.6210911,0.5308062,0.5515943,0.70642966,0.49544162,0.42601943,0.61901706,0.5080779,0.5045415,0.038131606,0.08973988,0.5852889,0.54876035,0.4989395,0.2974246,0.41303065,0.45667216,0.47890744,0.5738239,0.5035367,0.51440483,0.26336375,0.4270872,0.24887358,0.57299757,0.45264623,0.4753768,0.3962974,0.56310517,0.4135572,0.57865936,0.3870552,0.2883647,0.6720344,0.48692897,0.49551177,0.47128785,0.463017,0.45592287,0.5121584,0.37031814,0.57742405,0.4729562,0.45260066,0.49944144,0.465005,0.5805539,0.61337006,0.42118767,0.7429066,0.4616491,0.5724661,0.536653,0.69334334,0.5423065,0.50218856,0.6988493,0.46554184,0.56076294,0.4692443,0.30674848,0.50161815,0.5112485,0.51831836,0.5786239,0.43605098,0.51990896,0.5076119,0.6820995,0.48192996,0.49627978,0.48192996,0.3179005,0.49627978,0.5442834,0.6245552,0.34269664,0.5215947,0.54638845,0.45510155,0.41517502,0.44757584,0.5714656,0.46604005,0.5468873,0.5064713,0.4089382,0.5064713,0.45311275,0.4089382,0.78211385
9,0.43223444,0.15988128,0.44776925,0.5409134,0.4280203,0.35703623,0.44955057,0.47738606,0.5078524,0.64406025,0.6079104,0.44784638,0.5066894,0.48681837,0.4980821,0.59486645,0.5903427,0.45093167,0.4977537,0.17202777,0.17323864,0.5523274,0.61654466,0.5300909,0.55170506,0.70526665,0.49553967,0.42511326,0.6198718,0.5054645,0.49232265,0.038093984,0.09010115,0.5852889,0.54876035,0.4989395,0.2964824,0.4136203,0.45700166,0.47840163,0.57265955,0.50552607,0.51440483,0.26423293,0.425974,0.24940366,0.57246184,0.4518106,0.47474256,0.39802927,0.563606,0.4135572,0.5791154,0.3867973,0.28889477,0.67069244,0.4874571,0.49535593,0.47266603,0.4639609,0.45674932,0.51258874,0.37031814,0.57742405,0.47277886,0.45228606,0.5010822,0.46394187,0.5797712,0.61337006,0.4197214,0.74221456,0.4612656,0.57235926,0.53706366,0.693854,0.54312664,0.5034091,0.69866955,0.46554184,0.5599455,0.4692443,0.30674848,0.50161815,0.51140845,0.51859313,0.57824314,0.43628818,0.52044433,0.5074812,0.6817873,0.48188356,0.49597764,0.48188356,0.31821272,0.49597764,0.5442834,0.6245552,0.34269664,0.5215947,0.5465481,0.4546122,0.4149105,0.44697875,0.57188034,0.46592817,0.5467892,0.507328,0.4082871,0.507328,0.45321077,0.4082871,0.78211385
